spectrum,label,regime,alpha,boundary,line_style,cutoff_N,trace_H,T2_H,trace_K,T2_K,ordinary_quadratic_mean,ordinary_logdet,ordinary_total_mean,det2_constant,wick_quadratic_sd_p,log_density_sd_q,cf_finite_part_mean,finite_cutoff_identity_error,KL_p_to_q,KL_p_to_q_det2,KL_q_to_p,KL_q_to_p_det2,precision_covariance_kl_p_error,precision_covariance_kl_q_error
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,2605,2.0495480956262333,0.2801245408319334,2.5080875594256917,0.775161961769213,1.0247740478131167,-1.1201194255781466,-0.09534537776502994,-0.09534537776502736,0.37424894177000245,0.6225600219132341,-0.09534537776502736,2.581268532253489e-15,0.09534537776502994,0.09534537776502736,0.13392435413469927,0.1339243541346917,2.581268532253489e-15,7.577272143066693e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,2964,2.061441659771739,0.2801249356506742,2.519981518403071,0.7751623566142195,1.0307208298858694,-1.1260663063577756,-0.09534547647190617,-0.09534547647190134,0.3742492055106291,0.6225601804702174,-0.09534547647190134,4.829470157119431e-15,0.09534547647190617,0.09534547647190134,0.13392445284375998,0.13392445284375454,4.829470157119431e-15,5.440092820663267e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,3374,2.073072427217224,0.2801252662539767,2.531612616461273,0.7751626872363562,1.036536213608612,-1.1318817727329133,-0.09534555912430132,-0.0953455591242963,0.37424942635492225,0.6225603132373425,-0.0953455591242963,5.009881398621019e-15,0.09534555912430132,0.0953455591242963,0.1339245354977232,0.13392453549771907,5.009881398621019e-15,4.135580766728708e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,3839,2.0843674089396327,0.28012554116137955,2.5429078730977848,0.7751629621571684,1.0421837044698163,-1.137529332322085,-0.09534562785226863,-0.09534562785226436,0.3742496099940383,0.622560423636601,-0.09534562785226436,4.274358644806853e-15,0.09534562785226863,0.09534562785226436,0.1339246042268074,0.13392460422680452,4.274358644806853e-15,2.886579864025407e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,4370,2.095411554162833,0.2801257713288533,2.553952248493265,0.7751631923342549,1.0477057770814164,-1.1430514624763561,-0.0953456853949397,-0.09534568539493388,0.3742497637466544,0.6225605160682193,-0.09534568539493388,5.828670879282072e-15,0.0953456853949397,0.09534568539493388,0.1339246617702763,0.13392466177027518,5.828670879282072e-15,1.1102230246251565e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,4973,2.1061495622925097,0.2801259629310593,2.5646904482285775,0.7751633839433141,1.0530747811462549,-1.1484205144423212,-0.09534573329606633,-0.09534573329605642,0.3742498917374989,0.6225605930121638,-0.09534573329605642,9.908740494779522e-15,0.09534573329606633,0.09534573329605642,0.13392470967196757,0.13392470967196876,9.908740494779522e-15,1.1934897514720433e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,5660,2.1166249067800966,0.2801261229797654,2.5751659527673185,0.775163543996919,1.0583124533900483,-1.153658226698697,-0.09534577330864868,-0.09534577330864122,0.3742499986504779,0.6225606572844605,-0.09534577330864122,7.466249840604178e-15,0.09534577330864868,0.09534577330864122,0.13392474968496226,0.13392474968496193,7.466249840604178e-15,3.3306690738754696e-16
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,6442,2.1268338990573046,0.28012625652595147,2.585375078592464,0.775163677546606,1.0634169495286523,-1.1587627562241416,-0.09534580669548931,-0.0953458066954796,0.3742500878596767,0.622560710913645,-0.0953458066954796,9.71445146547012e-15,0.09534580669548931,0.0953458066954796,0.13392478307209044,0.1339247830720919,9.71445146547012e-15,1.4710455076283324e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,7331,2.1367713658459384,0.2801263678323711,2.595312656688764,0.7751637888555235,1.0683856829229692,-1.1637315174452678,-0.09534583452229861,-0.09534583452229284,0.37425016221263757,0.6225607556116606,-0.09534583452229284,5.773159728050814e-15,0.09534583452229861,0.09534583452229284,0.13392481089911423,0.13392481089911315,5.773159728050814e-15,1.0824674490095276e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,8344,2.146466975564199,0.2801264608175085,2.6050083593930506,0.7751638818424489,1.0732334877820995,-1.1685793455508282,-0.09534585776872873,-0.0953458577687265,0.3742502243269258,0.6225607929521618,-0.0953458577687265,2.220446049250313e-15,0.09534585776872873,0.0953458577687265,0.1339248341456971,0.1339248341456956,2.220446049250313e-15,1.5265566588595902e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,9496,2.155907501215672,0.28012653833705775,2.6144489625647145,0.7751639593632745,1.077953750607836,-1.1732996277565602,-0.09534587714872411,-0.09534587714872025,0.37425027611015715,0.6225608240819825,-0.09534587714872025,3.858025010572419e-15,0.09534587714872411,0.09534587714872025,0.13392485352579708,0.13392485352579547,3.858025010572419e-15,1.609823385706477e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,10807,2.165106730650913,0.28012660301728337,2.6236482566806454,0.7751640240444112,1.0825533653254564,-1.1778992586443158,-0.09534589331885934,-0.09534589331885279,0.37425031931668634,0.6225608500558043,-0.09534589331885279,6.5503158452884236e-15,0.09534589331885934,0.09534589331885279,0.13392486969600692,0.1339248696960037,6.5503158452884236e-15,3.219646771412954e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,12300,2.174076735549322,0.2801266570178082,2.6326183155799083,0.7751640780455874,1.087038367774661,-1.1823842745937059,-0.09534590681904498,-0.09534590681903829,0.3742503553891487,0.6225608717409035,-0.09534590681903829,6.689093723366568e-15,0.09534590681904498,0.09534590681903829,0.1339248831962483,0.13392488319624346,6.689093723366568e-15,4.829470157119431e-15
trace_class_alpha_1_20,$S_1$: $\alpha=1.20$,S1,1.2,False,solid,13998,2.1828116208238715,0.28012670204221063,2.641353245879085,0.7751641230704543,1.0914058104119357,-1.1867517284871192,-0.09534591807518344,-0.09534591807517732,0.37425038546554007,0.6225608898214111,-0.09534591807517732,6.1201044232461754e-15,0.09534591807518344,0.09534591807517732,0.1339248944524234,0.13392489445242137,6.1201044232461754e-15,2.0261570199409107e-15
