seed_index,model_seed,feature_seed,probe_seed,dimension,branch,trace_residue_coeff,batch_size,num_probes,num_grad_samples,series_order,num_threads,model_logit_jitter,variance_source,operator_semantics,objective_semantics,total_grad_variance,mean_grad_norm,mean_estimated_prior,std_estimated_prior,mean_trace_estimate,std_trace_estimate,trace_exact,t2_exact
4,7658933,7755936,7852939,256,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,2.057426691055298,2.106793165206909,-10.565595239400864,0.14491833360409362,94.80666518211365,0.17923739040624823,94.7907497882843,35.177290749801685
4,7658933,7755936,7852939,256,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.03858192265033722,0.24259428679943085,-0.2660459689795971,0.28538435937792994,11.577335268259048,0.47954220310606416,11.538663832470775,1.0661371350139262
4,7658933,7755936,7852939,256,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,5.4848175048828125,4.640309810638428,-57.96892786026001,0.23453340387229382,94.80666518211365,0.17923739040624823,94.7907497882843,35.177290749801685
4,7658933,7755936,7852939,256,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.27827370166778564,1.4095786809921265,36.83773732185364,0.05531402006186217,94.80666518211365,0.17923739040624823,94.7907497882843,35.177290749801685
4,7658933,7755936,7852939,256,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.14735844731330872,3.764235019683838,84.24107003211975,0.03436659805599009,94.80666518211365,0.17923739040624823,94.7907497882843,35.177290749801685
0,11344297,11441300,11538303,1024,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,7.1693115234375,3.9876904487609863,-42.10063564777374,0.24997182665286366,355.0099296569824,0.3185778535506391,354.90431520342827,123.33409005904986
0,11344297,11441300,11538303,1024,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.04600270837545395,0.25180625915527344,-0.560519203543663,0.3016959353329784,20.395070016384125,0.5113695697762648,20.328781399410218,1.1917391542424787
0,11344297,11441300,11538303,1024,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,19.632308959960938,8.920424461364746,-219.60560274124146,0.40923947235447145,355.0099296569824,0.3185778535506391,354.90431520342827,123.33409005904986
0,11344297,11441300,11538303,1024,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.8573684692382812,2.8033905029296875,135.40432691574097,0.09077874153207774,355.0099296569824,0.3185778535506391,354.90431520342827,123.33409005904986
0,11344297,11441300,11538303,1024,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.6964794397354126,7.445867538452148,312.90929412841797,0.06885881187388918,355.0099296569824,0.3185778535506391,354.90431520342827,123.33409005904986
1,12344300,12441303,12538306,1024,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,7.208683967590332,3.89520001411438,-37.33593046665192,0.204453172888144,354.362998008728,0.2601734671773404,354.3699925839901,122.97003253887394
1,12344300,12441303,12538306,1024,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.042493823915719986,0.28109052777290344,-0.41099872160702944,0.2951891605026887,20.310176849365234,0.4981216094995522,20.311754098162055,1.1920470615012393
1,12344300,12441303,12538306,1024,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,19.761098861694336,8.802459716796875,-214.5174298286438,0.3345028494967881,354.362998008728,0.2601734671773404,354.3699925839901,122.97003253887394
1,12344300,12441303,12538306,1024,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.8576589822769165,2.905082941055298,139.84556818008423,0.07453114656934041,354.362998008728,0.2601734671773404,354.3699925839901,122.97003253887394
1,12344300,12441303,12538306,1024,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.7080240249633789,7.56828498840332,317.02706813812256,0.05615988943346993,354.362998008728,0.2601734671773404,354.3699925839901,122.97003253887394
