dimension,branch,trace_residue_coeff,num_seeds,batch_size,num_probes,num_grad_samples,series_order,num_threads,variance_source,operator_semantics,objective_semantics,ci_method,bootstrap_samples,growth_exponent_fit,total_grad_variance_mean,total_grad_variance_ci_low,total_grad_variance_ci_high,mean_grad_norm_mean,mean_grad_norm_ci_low,mean_grad_norm_ci_high,mean_estimated_prior_mean,mean_estimated_prior_ci_low,mean_estimated_prior_ci_high,std_estimated_prior_mean,std_estimated_prior_ci_low,std_estimated_prior_ci_high,mean_trace_estimate_mean,mean_trace_estimate_ci_low,mean_trace_estimate_ci_high,std_trace_estimate_mean,std_trace_estimate_ci_low,std_trace_estimate_ci_high,trace_exact_mean,trace_exact_ci_low,trace_exact_ci_high,t2_exact_mean,t2_exact_ci_low,t2_exact_ci_high,grad_variance_dim_exponent_mean,grad_variance_dim_exponent_ci_low,grad_variance_dim_exponent_ci_high,t2_dim_exponent_mean,t2_dim_exponent_ci_low,t2_dim_exponent_ci_high
4096,cf_probe,0.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,25.371891021728516,25.2939688873291,25.495522689819335,7.2253063201904295,7.207390594482422,7.243222045898437,-136.0731930732727,-139.08659448623658,-132.91794366836547,0.41995572779918466,0.37573837342670713,0.45914306065409516,1325.044542694092,1324.4670043945312,1325.4257019042968,0.5563353855809681,0.49646309909769376,0.6091548611561978,1325.0378134310245,1324.5252019047737,1325.3914946436882,429.8697913288617,429.5054345021602,430.1064818644929,0.9078947093292881,0.905180376284974,0.9107483543719053,0.9013587748436087,0.9009640614307617,0.9016463911975467
4096,filtered_cf_probe,0.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,0.04110998660326004,0.036990923676639795,0.04571137577295303,0.256557434797287,0.2358356773853302,0.27968505024909973,-0.49893014691770077,-0.7478788502514362,-0.2682293894328184,0.2760514833645894,0.2389793755614301,0.31208130673389434,34.536824750900266,34.50174481868744,34.57608094215393,0.48032612700382016,0.42222560923748886,0.5384266447701516,34.57312880130485,34.55105672064237,34.59475714643486,1.259192846986495,1.2540178657901377,1.2662105298109847,0.03707802650382086,0.0015068126953995745,0.07264924031224214,0.04661078859185264,0.04451377210034035,0.04870780508336493
4096,trace_residue_minus_0_5,-0.5,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,71.38287811279297,71.1586685180664,71.72374420166015,16.70353012084961,16.67082977294922,16.730158233642577,-798.5954643249512,-801.4590557098388,-795.5287654876709,0.6980681225920202,0.6209023516975691,0.7636593614222653,1325.044542694092,1324.4842697143554,1325.4257019042968,0.5563353855809681,0.49646309909769376,0.60685490495785,1325.0378134310245,1324.5252019047737,1325.3914946436882,429.8697913288617,429.530430872636,430.1137511622048,0.9269361982897669,0.9241485670118987,0.9297238295676351,0.9013587748436087,0.9009640614307617,0.9016578431601555
4096,trace_residue_plus_0_5,0.5,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,2.6513147354125977,2.643202517032623,2.665184248685837,5.882591438293457,5.83559654712677,5.931682968139649,526.4490783691406,523.2858608245849,529.6928852081298,0.14205801556932013,0.12817915458989454,0.15531563809340884,1325.044542694092,1324.4842697143554,1325.4257019042968,0.5563353855809681,0.4990933932814336,0.6091548611561978,1325.0378134310245,1324.5252019047737,1325.3914946436882,429.8697913288617,429.5304933417016,430.1064818644929,0.8130559746514546,0.8106839824822425,0.8156657299965314,0.9013587748436087,0.9009559819332404,0.9016463911975467
4096,trace_residue_plus_1_0,1.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,3.221152114868164,3.2088673591613768,3.235636043548584,15.040138435363769,14.991501235961914,15.090742111206055,1188.971347808838,1185.6347450256349,1192.2846693611143,0.13693776824293388,0.12383684323273188,0.1493323296954384,1325.044542694092,1324.4670043945312,1325.4257019042968,0.5563353855809681,0.49646309909769376,0.6091548611561978,1325.0378134310245,1324.5252019047737,1325.3914946436882,429.8697913288617,429.530430872636,430.1064818644929,1.0995146215603935,1.0959440234234883,1.1030291666883967,0.9013587748436087,0.9009640614307617,0.9016463911975467
16384,cf_probe,0.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,88.8093048095703,88.55567932128906,89.06070098876953,13.250764656066895,13.207791137695313,13.28480167388916,-471.0312786102295,-476.6507236480713,-465.3335594177246,0.8325396295776765,0.7544779431751325,0.9106013159802204,4944.879254150391,4944.227075195313,4945.531433105469,1.1344446956500926,1.0279376913489389,1.2409516999512464,4944.807062023878,4944.342338921577,4945.270887267589,1496.7484565932223,1496.4722976832368,1497.024615503208,0.9078947093292881,0.905180376284974,0.9107483543719053,0.9013587748436087,0.9009640614307617,0.9016463911975467
16384,filtered_cf_probe,0.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,0.042123936116695404,0.038685012608766556,0.04609769433736801,0.2705994814634323,0.24985656440258028,0.287134575843811,-0.5075122006237507,-0.6137704180553556,-0.361502767726779,0.3351017600691802,0.3283951728271104,0.34157762660146407,57.73099761009216,57.61800320148468,57.82294819355011,0.5945037657577948,0.5762385421838049,0.6111102008774397,57.71404029766563,57.702451678249055,57.72588399962988,1.3008048574039501,1.2938838345713903,1.3074510424534869,0.03707802650382086,0.0015068126953995745,0.07264924031224214,0.04661078859185264,0.04451377210034035,0.04870780508336493
16384,trace_residue_minus_0_5,-0.5,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,256.174462890625,255.45758056640625,256.89134521484374,31.439698028564454,31.388586044311523,31.482623291015624,-2943.4709136962892,-2949.1153717041016,-2937.629878234863,1.3996847133239447,1.2683466177534797,1.527673547938381,4944.879254150391,4944.227075195313,4945.47852142334,1.1344446956500926,1.0279376913489389,1.2409516999512464,4944.807062023878,4944.343236780167,4945.270887267589,1496.7484565932223,1496.4722976832368,1497.024615503208,0.9269361982897669,0.9241485670118987,0.9297238295676351,0.9013587748436087,0.9009640614307617,0.9016578431601555
16384,trace_residue_plus_0_5,0.5,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,8.110178184509277,8.085489082336426,8.137697982788087,11.945411109924317,11.905259704589843,11.985562515258788,2001.4083488464355,1995.8139045715332,2007.0027931213378,0.26578869305537944,0.24103359246764472,0.29054379364311417,4944.879254150391,4944.277090454101,4945.531433105469,1.1344446956500926,1.0279376913489389,1.2409516999512464,4944.807062023878,4944.343236780167,4945.270887267589,1496.7484565932223,1496.4639246806553,1497.024615503208,0.8130559746514546,0.8106839824822425,0.8156657299965314,0.9013587748436087,0.9009559819332404,0.9016463911975467
16384,trace_residue_plus_1_0,1.0,5,16,8,32,5,4,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,percentile_bootstrap_over_outer_seeds,2000,paired_seed_ols_log_metric_on_log_dimension,14.077084922790528,14.039022827148438,14.113088989257813,29.82917022705078,29.789705390930173,29.871456909179688,4473.8479675292965,4468.2785369873045,4479.417398071289,0.3027361382068666,0.274378389345888,0.33066387344311554,4944.879254150391,4944.227075195313,4945.53027267456,1.1344446956500926,1.0279376913489389,1.2409516999512464,4944.807062023878,4944.343236780167,4945.270887267589,1496.7484565932223,1496.4722976832368,1497.024615503208,1.0995146215603935,1.0959440234234883,1.1030291666883967,0.9013587748436087,0.9009640614307617,0.9016463911975467
