m,channel_dimension_d,baseline,label,mechanism,channel_spectrum,physical_control,physical_parameter_name,physical_parameter_value,physical_distortion,dc_mask_response,anchored_dc_operator_gain,normalized_anchored_dc_response,physical_hs2,channel_trace,channel_hs2,raw_t2,centered_quadratic_variance,frequency_only_t2_lower_bound,analytic_uniform_t2_upper_bound,raw_t2_over_eta2_sqrt_d,growth_class
512,262144,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,9.354403595565215,0.9086508498011876,7.4493835320458075,3.7246917660229037,nan,8.85415362388071,0.04041549225285269,bounded
768,589824,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,460.79999999999995,0.7190637191157347,7.548587537389441,3.7742937686947204,nan,7.558416427412083,0.027302472285118055,bounded
768,589824,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,460.79999999999995,276.48,2902.43190812624,1451.21595406312,276.48,nan,10.497800593627893,sqrt(d)
768,589824,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,460.79999999999995,276.48,2465.2456642109423,1232.6228321054712,276.48,nan,8.916542477614808,sqrt(d)
768,589824,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,460.79999999999995,276.48,2266.663327713462,1133.331663856731,276.48,nan,8.19829039248214,sqrt(d)
768,589824,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,460.79999999999995,276.48,1432.6694923763853,716.3347461881926,276.48,nan,5.181819633884495,sqrt(d)
768,589824,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,10.571595323127148,0.9144828179395564,7.497195700403859,3.7485978502019295,nan,8.85415362388071,0.027116593245094973,bounded
1024,1048576,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,614.4,0.7192975609756097,7.551042362604852,3.775521181302426,nan,7.558416427412083,0.02048351335342028,bounded
1024,1048576,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,614.4,368.64,3869.9092108349864,1934.9546054174932,368.64,nan,10.497800593627893,sqrt(d)
1024,1048576,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,614.4,368.64,3286.9942189479225,1643.4971094739612,368.64,nan,8.916542477614808,sqrt(d)
1024,1048576,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,614.4,368.64,3022.2177702846157,1511.1088851423078,368.64,nan,8.19829039248214,sqrt(d)
1024,1048576,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,614.4,368.64,1910.2259898351801,955.1129949175901,368.64,nan,5.181819633884495,sqrt(d)
1024,1048576,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,11.513336045828126,0.9179606173497339,7.525707709895297,3.7628538549476485,nan,8.85415362388071,0.020414788709568407,bounded
