m,channel_dimension_d,baseline,label,mechanism,channel_spectrum,physical_control,physical_parameter_name,physical_parameter_value,physical_distortion,dc_mask_response,anchored_dc_operator_gain,normalized_anchored_dc_response,physical_hs2,channel_trace,channel_hs2,raw_t2,centered_quadratic_variance,frequency_only_t2_lower_bound,analytic_uniform_t2_upper_bound,raw_t2_over_eta2_sqrt_d,growth_class
16,256,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,2.772435890722524,0.763223705190873,6.257129569580955,3.1285647847904774,nan,8.85415362388071,1.086307216941138,bounded
24,576,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,14.399999999999999,0.6912,7.2560797703156,3.6280398851578,nan,7.558416427412083,0.8398240474902314,bounded
24,576,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,14.399999999999999,8.64,90.700997128945,45.3504985644725,8.64,nan,10.497800593627893,sqrt(d)
24,576,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,14.399999999999999,8.64,77.03892700659195,38.519463503295974,8.64,nan,8.916542477614808,sqrt(d)
24,576,smooth_frequency_mask,smooth frequency mask,frequency-only control,unstable,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,14.399999999999999,8.64,70.83322899104569,35.41661449552284,8.64,nan,8.19829039248214,sqrt(d)
24,576,unconstrained_frequency_decay,unconstrained decay,frequency-only control,unstable,decay,exponent,0.35486501718054664,0.15062756259372084,1.0,0.6,1.0,5.181819633884495,14.399999999999999,8.64,44.77092163676204,22.38546081838102,8.64,nan,5.181819633884495,sqrt(d)
24,576,ideal_aware_s2_gate,ideal-aware channel gate,channel S2 envelope,ideal,smooth,cutoff,11.365853305401767,0.15062756259372087,1.0,0.6,1.0,8.19829039248214,3.2748249512297725,0.7950007288836138,6.517646837622829,3.2588234188114145,nan,8.85415362388071,0.7543572728730126,bounded
32,1024,stable_matched_pair,stable matched pair,analytic stable family,stable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,19.2,0.6981818181818181,7.3293735053692926,3.6646867526846463,nan,7.558416427412083,0.6362303390077512,bounded
32,1024,unstable_unfiltered,"unstable, unfiltered",frequency-only control,unstable,identity,none,0.0,0.0,1.0,0.6,1.0,10.497800593627893,19.2,11.52,120.93466283859333,60.46733141929666,11.52,nan,10.497800593627893,sqrt(d)
32,1024,hard_physical_cutoff,hard physical cutoff,frequency-only control,unstable,hard,cutoff,11.40175425099138,0.1506275625937209,1.0,0.6,1.0,8.916542477614808,19.2,11.52,102.71856934212258,51.35928467106129,11.52,nan,8.916542477614808,sqrt(d)
